Regulator	Target
ENSG00000185000	ENSG00000072778
ENSG00000060971	ENSG00000072778
ENSG00000221988	ENSG00000072778
ENSG00000110090	ENSG00000072778
ENSG00000068366	ENSG00000072778
ENSG00000138029	ENSG00000072778
ENSG00000205560	ENSG00000072778
ENSG00000197142	ENSG00000072778
ENSG00000131238	ENSG00000072778
ENSG00000100219	ENSG00000072778
ENSG00000130377	ENSG00000072778
ENSG00000157184	ENSG00000072778
ENSG00000103740	ENSG00000072778
ENSG00000137745	ENSG00000157766
ENSG00000157350	ENSG00000157766
ENSG00000064225	ENSG00000157766
ENSG00000126091	ENSG00000157766
ENSG00000179913	ENSG00000157766
ENSG00000100985	ENSG00000157766
ENSG00000196611	ENSG00000157766
ENSG00000135702	ENSG00000157766
ENSG00000175264	ENSG00000157766
ENSG00000183196	ENSG00000157766
ENSG00000140873	ENSG00000157766
ENSG00000154734	ENSG00000157766
ENSG00000158470	ENSG00000157766
ENSG00000163638	ENSG00000157766
ENSG00000176383	ENSG00000157766
ENSG00000121578	ENSG00000157766
ENSG00000175040	ENSG00000157766
ENSG00000117411	ENSG00000157766
ENSG00000158850	ENSG00000157766
ENSG00000167531	ENSG00000157766
ENSG00000137673	ENSG00000157766
ENSG00000149968	ENSG00000157766
ENSG00000262406	ENSG00000157766
ENSG00000134917	ENSG00000157766
ENSG00000154736	ENSG00000157766
ENSG00000174684	ENSG00000157766
ENSG00000145536	ENSG00000157766
ENSG00000118276	ENSG00000157766
ENSG00000170340	ENSG00000157766
ENSG00000110080	ENSG00000157766
ENSG00000008513	ENSG00000157766
ENSG00000087245	ENSG00000157766
ENSG00000086062	ENSG00000157766
ENSG00000158859	ENSG00000157766
ENSG00000156966	ENSG00000157766
ENSG00000140835	ENSG00000157766
ENSG00000075651	ENSG00000072818
ENSG00000129219	ENSG00000072818
ENSG00000165527	ENSG00000072818
ENSG00000122971	ENSG00000075239
ENSG00000183747	ENSG00000075239
ENSG00000103150	ENSG00000075239
ENSG00000183549	ENSG00000075239
ENSG00000113790	ENSG00000075239
ENSG00000119711	ENSG00000075239
ENSG00000131069	ENSG00000075239
ENSG00000198074	ENSG00000075239
ENSG00000081760	ENSG00000075239
ENSG00000005187	ENSG00000075239
ENSG00000072506	ENSG00000075239
ENSG00000215009	ENSG00000075239
ENSG00000198754	ENSG00000075239
ENSG00000154930	ENSG00000075239
ENSG00000166743	ENSG00000075239
ENSG00000084754	ENSG00000075239
ENSG00000138796	ENSG00000075239
ENSG00000066813	ENSG00000075239
ENSG00000083720	ENSG00000075239
ENSG00000072506	ENSG00000120437
