TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000012779	650	805	1496	933	2329	955	1364	1336	314	6504	1318
ENSG00000012817	4940	20	3958	1234	431	180	3	2	369	3	2264
ENSG00000012822	3458	3176	16111	3542	2716	2461	5440	2455	2445	3692	3861
ENSG00000012963	1175	3235	1773	964	1747	1487	1750	1896	3041	1682	2011
ENSG00000012983	1816	3042	1979	1090	1235	1574	3370	2679	4181	1198	2701
ENSG00000013016	714	400	1381	561	593	327	1030	790	369	370	10033
ENSG00000013275	12224	8799	4063	1745	4711	6803	11054	4856	12329	8489	5176
ENSG00000013288	12932	4970	5168	2527	4268	3975	7078	3338	5032	3574	4551
ENSG00000013293	5	4	53	32	1	17	14	36	0	19	2
ENSG00000013297	877	60	372	123	162	43	1400	146	132	123	229
ENSG00000013306	12633	12271	3947	1713	6373	29345	13856	7002	13968	17956	10533
ENSG00000013364	33119	14590	11036	4833	24221	30367	25188	9337	24465	13363	11224
ENSG00000013374	6659	10547	4428	1784	4201	3377	5929	5282	7551	4738	3094
ENSG00000013375	1097	4402	874	581	858	1127	3839	3939	8032	1893	1961
ENSG00000013392	392	654	511	241	273	196	595	693	426	451	194
ENSG00000013441	714	3362	5939	2443	1701	1537	5342	8445	4755	2084	3968
ENSG00000013503	572	1599	507	226	813	339	572	803	921	597	1292
ENSG00000013523	1419	2584	1889	760	1880	1677	1346	1732	2669	1416	1388
ENSG00000013561	3561	2487	2815	1307	1233	895	2155	2001	2160	2332	1140
ENSG00000013563	3462	1115	1077	650	1459	1174	2136	997	2693	1087	1261
ENSG00000013573	855	2667	890	679	616	3630	7956	951	3919	640	363
ENSG00000013583	3204	3713	2368	1234	542	2630	3664	1390	266	1220	1127
ENSG00000013588	31220	69057	7588	3070	17617	88079	79238	18641	80134	36828	20411
ENSG00000013619	576	225	766	286	236	347	1096	197	299	127	296
ENSG00000013725	346	1277	1160	521	1005	265	834	730	223	227	849
ENSG00000013810	2467	3719	1025	594	2510	5487	5124	3043	2468	3243	1474
ENSG00000014123	1843	6433	3551	1660	1462	1321	5930	3644	5185	4315	3043
ENSG00000014138	1652	1917	1099	510	1505	4712	1331	1644	2061	981	1272
ENSG00000014164	5308	2737	2254	992	2180	2171	4145	1447	6316	5579	2507
ENSG00000014216	40870	13999	11052	5585	18388	49791	36627	9080	24255	8266	45061
ENSG00000014257	66	114	50	26	419	44	202	278	1006	80	6421
ENSG00000014641	6423	6825	4996	4018	4900	4665	6985	8666	5651	3893	4203
ENSG00000014824	3510	5155	2584	1452	2871	2706	4328	3348	4184	1673	3526
ENSG00000014914	3050	3145	2477	1303	3324	2677	7025	3037	6908	5198	443
ENSG00000014919	3158	4536	2436	936	2729	1986	2340	3174	3544	3375	1794
