TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000014914	1826	378	678	172	1515	230	2546	241	338	881	1706
ENSG00000014919	4875	1312	1286	934	4114	861	1921	1050	1288	893	1571
ENSG00000015133	6640	1337	286	1494	1176	1430	3343	2162	2195	1466	2542
ENSG00000015153	1359	191	1040	321	940	444	689	505	457	464	475
ENSG00000015171	6758	2570	2715	2078	3207	1894	4523	2506	4540	2760	2793
ENSG00000015285	1387	770	443	815	435	1573	275	186	956	246	1030
ENSG00000015413	777	29	58	7	112	201	128	13	6	8	122
ENSG00000015475	2643	730	3453	574	3372	1525	845	1143	751	289	777
ENSG00000015479	890	132	67	105	150	42	167	119	112	221	133
ENSG00000015520	23	32	2	2	68	15	4289	12	1	8	162
ENSG00000015532	5662	1247	814	677	1333	1390	3766	537	1056	646	1512
ENSG00000015568	5	0	0	1	1	0	1	0	0	0	1
ENSG00000015592	80	0	1	0	0	0	0	0	0	0	12
ENSG00000015676	8062	4650	1833	1985	4688	3350	4434	2376	3450	1399	3206
ENSG00000016082	15	1	217	0	13	2	97	0	0	0	12
ENSG00000016391	943	2090	191	335	769	248	902	258	615	347	678
ENSG00000016402	911	32	426	571	2219	246	169	125	704	51	205
ENSG00000016490	2	0	0	0	0	0	927	0	0	0	0
