TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000008083	1925	3323	29794	551	2508	3818	2495	463	3059	1016	2439	4656	2296	3438	1471	2763	5165	3092	413	2908
ENSG00000008086	1632	736	1652	132	362	1039	710	423	899	1435	892	1132	763	2626	1131	630	985	1120	374	242
ENSG00000008118	31	9	16	14	15	25	34	13	85	8	27	33	15	23	36	43	64	3	14	3
ENSG00000008128	288	440	907	355	554	421	206	196	479	594	562	112	194	931	405	461	502	558	297	692
ENSG00000008130	4354	2508	7000	2974	1952	3699	2274	1886	3425	4184	3375	4252	2497	10286	3517	5386	3091	3840	2169	3941
ENSG00000008196	899	0	56	5	9	2	2	2	1	0	0	0	7	0	0	0	1	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	1	0	0	0
ENSG00000008226	109	94	953	10	63	26	29	12	57	90	42	12	28	56	32	23	22	125	38	43
ENSG00000008256	1542	1379	1497	867	707	1571	1617	632	1615	279	3315	2031	1413	1384	1803	3425	2203	1267	594	1409
ENSG00000008277	317	90	368	2	143	20	37	312	75	634	28	11	1084	2484	290	134	25	317	100	299
ENSG00000008282	16185	9504	9507	2153	9220	8328	11199	6317	11668	11846	11724	17697	5260	12224	10729	11333	16446	7152	4960	3710
ENSG00000008283	9049	3435	12046	2819	8000	7090	2684	2892	9430	8389	7190	8732	4029	12752	9286	13839	5053	6866	4769	2505
